标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果
#,0,0,默认,传书,你好，这是示例内容。,1,P,
#,1,2,默认,？？？,因为椅子太矮了，我需要调高才能出现在窗口。,2,M,FLOAT
#,2,1,坏笑,旦夕,你确定不是因为你太矮了？,3,P,
#,3,2,生气,？？？,这不可能！,4,,SHAKE
#,4,0,默认,传书,因为这是示例内容，所以我决定做一杯卡布奇诺。,5,,
$,5,3,,,,6,,
&,6,1,,旦夕,哈哈哈哈哈@啊啊啊@哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,9,,
&,7,1,,旦夕,阿八八八,10,,
&,8,1,,旦夕,阿八八八2,11,,
#,9,2,默认,？？？,好吧，其实我叫索骥，而且我准备走了。,10,,
#,10,2,默认,索骥,那么，就是现在，再见。啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,11,D,
#,11,0,默认,传书,如你所见，旦夕，你赶走了一位客人啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,12,,
#,12,1,生气,旦夕,关我屁事！,13,,SCREENSHAKE
$,13,,,,,,,
